id,week,date,timeofday,LON,LAT,activity,withmask,maskcompliant,socialdist,sdmaskcomp,agegroup,white,sex,obese
3306,1,2/16/2021,131931,39.67695973,-75.7482055,1,0,0,0,0,2,1,1,0
3307,1,2/16/2021,131931,39.67697831,-75.7482377,1,0,0,1,1,2,1,1,0
3308,1,2/16/2021,131940,39.67703198,-75.7477039,2,1,1,1,1,2,1,2,0
3309,1,2/16/2021,131944,39.6770485,-75.7472131,1,1,1,1,0,2,1,2,1
3310,1,2/16/2021,131944,39.67702786,-75.747197,1,1,1,1,0,2,1,2,0
3311,1,2/16/2021,132022,39.67729622,-75.7488439,2,0,0,1,1,2,1,1,0
3312,1,2/16/2021,132033,39.67747376,-75.7493428,2,1,1,1,1,2,1,2,9
3313,1,2/16/2021,132037,39.67750885,-75.74957,2,1,0,1,1,2,1,2,0
3314,1,2/16/2021,132043,39.67750472,-75.74984438,2,1,1,1,1,3,1,2,0
3315,1,2/16/2021,132043,39.67750885,-75.7499382,2,1,1,1,1,2,1,2,0
3316,1,2/16/2021,132055,39.67744489,-75.750107,2,1,1,1,0,2,1,2,0
3317,1,2/16/2021,132055,39.6774676,-75.7501099,2,1,1,1,0,2,9,2,0
3318,1,2/16/2021,132055,39.67747379,-75.7501045,2,1,1,1,0,2,1,2,1
3319,1,2/16/2021,132055,39.67745521,-75.7501984,3,1,1,1,1,2,1,3,0
3320,1,2/16/2021,132055,39.6774965,-75.750112,2,1,1,1,0,2,9,2,0
3321,1,2/16/2021,132055,39.67751302,-75.7501367,2,1,1,1,0,2,9,2,0
3322,1,2/16/2021,132057,39.67747999,-75.7502279,2,1,0,0,0,2,1,2,0
3323,1,2/16/2021,132057,39.67750477,-75.7502306,2,1,0,0,0,2,1,1,0
3324,1,2/16/2021,132058,39.67742013,-75.750354,2,1,1,1,1,2,1,2,0
3325,1,2/16/2021,132107,39.67755225,-75.750498,2,1,1,1,0,2,1,2,0
3326,1,2/16/2021,132107,39.67757496,-75.7504989,2,1,1,1,0,2,1,2,0
3327,1,2/16/2021,132115,39.67758735,-75.75118287,2,1,0,1,1,2,1,1,0
3328,1,2/16/2021,132132,39.67768643,-75.7517058,2,1,1,1,1,2,1,1,0
3329,1,2/16/2021,132209,39.67856585,-75.7522691,2,1,1,1,1,9,1,2,9
3330,1,2/16/2021,132211,39.67850185,-75.7523254,2,1,1,1,0,2,1,2,0
3331,1,2/16/2021,132211,39.67849359,-75.7523147,2,1,1,1,0,2,1,2,0
3332,1,2/16/2021,132249,39.6794597,-75.7519097,2,0,0,0,0,2,1,2,0
3333,1,2/16/2021,132249,39.6794886,-75.751882,2,0,0,0,0,2,1,2,0
3334,1,2/16/2021,132249,39.6795113,-75.7518507,2,1,0,1,1,2,1,2,1
3335,1,2/16/2021,132255,39.67955052,-75.751896,2,1,0,1,1,2,1,2,1
